piece,x,y
0.0,116.30814588567871,1154.7199364786281
0.0,539.7093587277087,1396.8905469433091
0.0,2063.8177424542055,935.3572466144461
0.0,1353.6974111224624,60.61767365869174
1.0,116.2947871561832,1156.8531559087894
1.0,192.18589657675273,2125.2763407274033
1.0,537.7534546464822,1397.0607277461902
2.0,192.51215377964812,2125.0609125767246
2.0,579.8625489194376,1553.5431763230445
2.0,538.3355531121698,1400.2890540157746
3.0,192.23121233566889,2125.5629890639443
3.0,1331.43286308133,1648.127365749312
3.0,581.0911613807438,1555.4606867413204
4.0,193.50243434555318,2125.122139161009
4.0,2354.188529939035,1626.4193536137323
4.0,1333.9477017649747,1648.146993135006
5.0,540.4189143304527,1397.6724597203447
5.0,581.7604755760815,1551.553798486679
5.0,1332.2171295017101,1646.4284486888212
5.0,2065.8416544649453,936.1334636177393
6.0,1333.062938967646,1647.2314361205715
6.0,2353.754884097346,1625.9014785008378
6.0,2066.0184358041192,937.2378740409392
7.0,1356.1873678944407,60.72912155004683
7.0,2058.263766601453,669.3464276091354
7.0,2413.212139891107,100.45345083508808
8.0,1353.7646162169522,60.5781101656371
8.0,2066.1417382694244,934.1476433474475
8.0,2056.1275097110733,670.4418120596213
9.0,2057.69311686407,672.3523563612007
9.0,2067.6998853955834,935.4259208659
9.0,2356.0398233079113,1625.3500861015923
9.0,2415.0332251641235,101.74303950901039
