piece,x,y
0.0,882.704542864307,262.6452571286741
0.0,671.9464899720425,-138.2659837192009
0.0,-834.1490046886373,-603.9797743836939
0.0,-720.5020281477122,479.6005009742207
1.0,-11.322796839500995,407.33390461495793
1.0,283.7069725999657,-444.44499340757164
1.0,-272.38417576046476,37.11108879261366
2.0,476.67335156219815,-77.10090485072517
2.0,-195.17180237836783,-17.774866185084036
2.0,-281.5015491838303,94.87577103580922
3.0,-358.99393489367924,-499.4021763213393
3.0,142.2201139472661,622.3210333169291
3.0,216.77382094641325,-122.91885699558975
4.0,-235.72208534941578,1075.5140572668352
4.0,341.92864629568487,-995.6225292846248
4.0,-106.20656094626915,-79.89152798221039
5.0,-414.4777523941557,390.1810694528576
5.0,-301.17187885573003,489.86862135878255
5.0,304.0495194668292,55.597762705448986
5.0,411.6001117830565,-935.6474535170892
6.0,-84.11443499573699,586.5989063278637
6.0,387.82906112772133,-241.42210605709016
6.0,-303.7146261319843,-345.1768002707734
7.0,-268.0798638365197,542.2495539944794
7.0,371.87839770477746,-90.40328580425506
7.0,-103.79853386825783,-451.8462681902244
8.0,-12.256286781269715,-644.0782207018237
8.0,-52.179580285319695,408.56854804535214
8.0,64.4358670665894,235.5096726564716
9.0,122.45557965161379,175.33905767513988
9.0,148.3548004569161,-35.852897781399406
9.0,107.95745444870363,-783.138835357503
9.0,-378.7678345572335,643.6526754637625
