piece,x,y
0.0,-891.0593028833882,304.59985595010903
0.0,-457.9590833460579,529.8681457006528
0.0,1048.6377117006964,5.550054155918133
0.0,300.38067452874975,-840.01805580668
1.0,-437.04985634273845,19.432257131791005
1.0,501.92086077470475,277.0539884961484
1.0,-64.87100443196624,-296.48624562793947
2.0,-454.88328146221784,-203.02390884543274
2.0,152.29696121299594,129.56770897184833
2.0,302.5863202492219,73.45619987358441
3.0,-352.23209246011294,508.02453810538583
3.0,544.042739770887,-342.5878604275592
3.0,-191.81064731077396,-165.4366776778267
4.0,756.9038421336614,863.5965603617855
4.0,-602.8603793100368,-892.3128936917916
4.0,-154.04346282362474,28.71633333000625
5.0,-411.7640606746745,423.1105575967549
5.0,-273.64763874289474,504.71476646331485
5.0,329.44759251023515,47.39773210743715
5.0,355.9641069073341,-975.2230561675069
6.0,-37.79071707851472,634.1327568962661
6.0,392.5830371816737,-295.65748007751245
6.0,-354.792320103159,-338.4752768187536
7.0,619.5483316659249,99.5906711961079
7.0,-189.0597505536727,-364.5304106906119
7.0,-430.48858111225235,264.939739494504
8.0,-635.4622474325843,-254.71104906333267
8.0,376.61191912938193,245.8686123088089
8.0,258.85032830320233,8.84243675452376
9.0,225.72317535367438,-54.472921693710305
9.0,-2.7794336664173898,-188.02349180619603
9.0,-741.3124248845434,-310.3848812429187
9.0,518.3686831972864,552.881294742825
