piece,x,y
0.0,-891.0593028833882,304.59985595010903
0.0,-457.9590833460579,529.8681457006528
0.0,1048.6377117006964,5.550054155918133
0.0,300.38067452874975,-840.01805580668
1.0,-437.04985634273845,19.432257131791005
1.0,501.92086077470475,277.0539884961484
1.0,-64.87100443196624,-296.48624562793947
2.0,-454.88328146221784,-203.02390884543274
2.0,152.29696121299594,129.56770897184833
2.0,302.5863202492219,73.45619987358441
3.0,-352.23209246011294,508.02453810538583
3.0,544.042739770887,-342.5878604275592
3.0,-191.81064731077396,-165.4366776778267
5.0,-411.7640606746745,423.1105575967549
5.0,-273.64763874289474,504.71476646331485
5.0,329.44759251023515,47.39773210743715
5.0,355.9641069073341,-975.2230561675069
