piece,x,y
0.0,153.96787365219566,1139.0430560416708
0.0,562.5692759380133,1348.5118782278132
0.0,2066.0247955088303,935.8313103259369
0.0,1346.0874284719519,69.51585142057134
1.0,156.75568506027545,1185.9058935093442
1.0,197.7244960178265,2109.793380635934
1.0,502.68813315849377,1393.824968502982
2.0,215.9757350590937,2085.4084083173607
2.0,562.341009243783,1529.0529274445173
2.0,540.6210611963887,1432.0788125197523
3.0,209.4573661495525,2112.1444000606825
3.0,1277.8881480200002,1664.489629295554
3.0,583.498899030316,1567.1903233490366
4.0,223.41862030595885,2114.6379612528044
4.0,2309.3955697692604,1630.5438527670165
4.0,1310.658824419674,1664.6618582343265
5.0,548.380675727783,1396.6664797704414
5.0,611.165747190181,1543.1265416669632
5.0,1333.9821977279262,1643.403702464973
5.0,2063.799877128138,938.3759685959847
6.0,1376.4748991976815,1643.150861567701
6.0,2314.550179506701,1605.9038839104965
6.0,2042.1624179377718,964.376490612656
7.0,1409.5585452113614,67.25993608482621
7.0,2064.501024648731,643.2466616981633
7.0,2397.3889299226325,115.8766313126767
8.0,1366.0407225066583,73.67968475037108
8.0,2063.9519737738383,932.615089270188
8.0,2054.7036230487047,670.0766146669966
9.0,2059.282047884973,676.8854954497705
9.0,2077.1270392721976,917.1581167394846
9.0,2350.46196483131,1568.3649662672767
9.0,2404.677703740215,154.72311142907043
